"Project:","Unnamed Project"
"User:","Rockwell Automation"
"Data item:","Record 36"
"Run date:",06/24/2024
"Options:",YDT   ,1

Time,Observation
55.67264800498,52.135586682487
71.238825565541,67.631297629731
86.224434385298,82.683330231094
101.64756144748,98.069626024887
116.8134114089,113.12614434881
132.27298424867,128.66589006184
147.74164673503,144.09568974625
162.57917325563,159.07198603358
178.17001473985,174.57255906061
193.64538067024,189.98292613431
209.14569221698,205.53087318877
224.33347047392,220.71916693271
239.92306572575,236.33661526036
254.9084769913,251.47654780721
270.14777160044,266.63709725701
285.67601724752,282.07046912084
300.84432678262,297.3071080811
316.04154610373,312.4743455895
331.38493768773,327.78690346715
346.80524278054,343.23449039996
362.06123875404,358.44581884399
377.18130641063,373.60593393284
392.79905713249,389.09136101722
407.74024821851,404.19002643525
423.16610236844,419.59214016327
438.39099443919,434.80616006482
453.83195949708,450.25067923121
469.09231171817,465.55157746242
484.23923988294,480.56868872236
499.47699525995,495.92037854123
514.42689506179,510.87102183449
529.83610260432,526.21087168373
544.99066721624,541.43167949634
559.98967296314,556.38484394329
575.28492764326,571.67350309616
590.68550785746,587.11342791684
605.79471054225,602.16349892428
620.71530002877,617.21463591684
636.24905449437,632.69375641658
651.51150203832,647.80765647332
666.66699704358,663.07468242232
682.3387028645,678.67877958407
697.49179132303,693.90401875049
713.11467783671,709.45350074673
728.23266733548,724.62619888094
743.4472649717,739.86347325996
758.79462703996,755.05021889219
774.17501619863,770.55882600868
789.16511532869,785.68069293463
804.47529020686,800.79148738894
819.20065284398,815.69324790211
834.70886611656,831.14745379861
850.12927857457,846.44261076671
865.27022331903,861.67936648924
880.46881566263,876.7841276113
895.60909372756,891.93216499233
910.85400066577,907.19564522321
925.92487348248,922.25473899441
941.15534586584,937.53804732902
956.55434234491,953.01063050429
971.69154606447,968.03951033837
986.66755928549,983.20907726816
1002.0070659092,998.41970283466
1017.3622143917,1013.7698875486
1032.6144259391,1029.0111911755
1047.4072051484,1043.7702021
1062.9450121303,1059.2578940102
1078.1044068244,1074.4543818287
1093.3277328397,1089.7969296209
1108.6503936897,1105.1214525188
1123.9262116053,1120.3442421913
1139.1790907213,1135.5511322803
1154.7700564053,1151.1266149057
1169.8931413142,1166.3167292672
1185.0295977272,1181.4753664582
1200.4175824089,1196.8299438814
1216.0231705861,1212.4252588692
1231.2253445288,1227.5805416344
1246.2451615854,1242.6081496874
1261.6925588837,1258.157091354
1276.9584124818,1273.3601027254
1292.0700394448,1288.5517035289
1307.1922902011,1303.553689803
1322.5186353315,1318.8827178248
1337.7870783419,1334.2068579563
1353.0715415907,1349.368288412
1368.0149397231,1364.353186198
1383.379842404,1379.7552763342
1398.5813107374,1394.9684193849
1414.0910000193,1410.4230983195
1429.0860280308,1425.5497511483
1444.1061894633,1440.525258563
1459.4748617798,1455.9300610217
1474.8685506496,1471.1893190049
1489.9301987107,1486.2454519717
1505.1013510137,1501.4758198164
1520.2871314397,1516.6446218612
1535.75161512,1532.1543205297
1551.0085165765,1547.3973775767
1566.347471648,1562.6932334802
1581.4304535886,1577.8463616201
1597.0424502507,1593.4175227708
1612.2976725137,1608.6476155589
1627.6647719756,1623.9514987502
1642.8543740276,1639.2960255533
1658.0043392184,1654.4057247252
1673.2618790064,1669.6339090507
1688.5016689486,1684.8703082188
1703.8115894138,1700.2330072532
1718.9064599806,1715.3416918176
1734.071128996,1730.4123180473
1749.0966923177,1745.5220056845
1764.4319511433,1760.8966353813
1779.754345966,1776.1967931736
1795.0548249603,1791.5423341511
1810.471586159,1806.8642824339
1825.9796011343,1822.3674918697
1841.0953302329,1837.5191710284
1856.410335357,1852.8264981622
1871.7538520952,1868.1413536711
1886.8958041762,1883.3486844328
1901.8661828069,1898.364658318
1917.3996163474,1913.805572808
-1,-1
